,Initial text,Corrupted text
0," В храм ты бросила ходить, <BR> Бога растоптала… <BR> Погляди ты, погляди, <BR> Что с тобою стало! "," В храм ты бросила ходить, <BR> Бога растоптала… <BR> Погляди ты, погляди, "
1," Всю нашего молчанья глубину, <BR> Всю глубину характера крутого <BR> Поймут как скорбь по жизни светлой, новой, <BR> Как боль за дорогую нам страну.","Глубину как молчанья дорогую, <BR> Нашего новой крутого характера <BR> Светлой как всю страну всю боль, поймут, <BR> Жизни за по нам скорбь глубину."
2," И рухнул Горыныч <BR>                         под саблей-бедою. <BR> Шестнадцать голов, <BR>                            что шестнадцать бидонов, <BR> скатились <BR>               и, как говорят очевидцы, <BR> катились два месяца в сторону моря. <BR> Катились по травам-муравам зеленым. <BR> Вот как расхрабрился балбес-несмышленыш! <BR> Балбес отпихнул <BR>                       от колодца Горыну, <BR> прилег на гадючью горючую глину <BR> и длинной веревкою, <BR>                             длинной-предлинной, <BR> он вытащил двух наилучших царевен. <BR> И стали царевны <BR>                       от радости ахать, <BR> и пить родники, <BR>                       и кататься по макам, <BR> и вдаль побежали, <BR>                          подальше, <BR>                                              подальше <BR> от Змея, <BR>              гниющего возле колодца. <BR> Одно не домыслил <BR>                         балбес-несмышленыш ― <BR> борец за царевен <BR>                         с Горыной-неправдой: <BR> его воспитали в духах благовонных, <BR> а умер герой― <BR>                     от змеиного смрада.","Вытащил несмышленыш Духах <BR> в зеленым- длинной. <BR> А катились, <BR> от змея за, <BR> по <BR> шестнадцать, саблей рухнул как, <BR> борец воспитали с от говорят стали. <BR> Гадючью пить два- муравам двух. <BR> Его царевны и балбес- месяца! <BR> От моря <BR> длинной радости Он, <BR> домыслил колодца глину несмышленыш одно <BR> змеиного колодца умер, <BR> прилег- ахать, <BR> горючую и как наилучших в. <BR> Не герой макам <BR> возле и подальше, <BR> балбес веревкою под, <BR> горыну благовонных и неправдой, <BR> скатились вот что, <BR> горыной, <BR> шестнадцать <BR> подальше Отпихнул, <BR> травам катились по. <BR> Царевен и и <BR> гниющего- предлинной― <BR> вдаль на балбес <BR> от И- кататься: <BR> бедою очевидцы сторону смрада царевен, <BR> побежали горыныч голов― <BR> родники расхрабрился бидонов."
3," О, помню я!..  Такие звуки <BR> Давно не трогали мой слух: <BR> Живым порывом горькой муки <BR> В те дни кипел мой юный дух! <BR> Теснили грудь мою рыданья, <BR> Я образ друга вызывал: <BR> Казалось мне, без очертанья <BR> Он тихо в воздухе витал <BR> И в душу мне вникал глубоко. <BR> В церковной мгле, среди лампад, <BR> Полусмущен, я чуял взгляд <BR> Его всевидящего ока: <BR> Он был слезам и скорби рад! <BR>  «Теперь, ― я думал, ― он измерит <BR> Всю глубину моей любви <BR> И чувства тайные мои <BR> Судом взыскательным поверит!..» <BR> И ― почему, не знаю сам ― <BR> Мой взор тянулся к небесам… <BR> Но там ― ни звука, ни намека <BR> В ответ на пламенный порыв: <BR> Таков удел того, кто жив… <BR> Бессилен гнев, слова упрека <BR> Безумством были б сочтены! "," О, помню я!..  Такие звуки <BR> Давно не трогали мой слух: <BR> Живым порывом горькой муки <BR> В те дни кипел мой юный дух! <BR> Теснили грудь мою рыданья, <BR> Я образ друга вызывал: <BR> Казалось мне, без очертанья <BR> Он тихо в воздухе витал <BR> И в душу мне вникал глубоко. <BR> В церковной мгле, среди лампад, <BR> Полусмущен, я чуял взгляд <BR> Его всевидящего ока: <BR> Он был слезам и скорби рад! <BR>  «Теперь, ― я думал, ― он измерит <BR> Всю глубину моей любви <BR> И чувства тайные мои <BR> Судом взыскательным поверит!..» <BR> Мой взор тянулся к небесам… <BR> Но там ― ни звука, ни намека <BR> В ответ на пламенный порыв: <BR> Таков удел того, кто жив… <BR> Бессилен гнев, слова упрека <BR> Безумством были б сочтены! "
4," Площадь.  Фонтан с рябою <BR> нимфою.  Скаты кровель. <BR>  (Покуда я был с тобою, <BR> я видел все вещи в профиль.) ","Видел. Покуда нимфою профиль <BR> вещи. Фонтан кровель. <BR>( С скаты рябою с я, <BR> был в площадь я тобою все.)"
5,"Перекрестила.  Время пробило. <BR> В тисках напутственных ладоней ― <BR> Лицо, взволнованное добела, <BR> Лицо и память о Дидоне… ",Перекрестила.  Время пробило. <BR> В тисках напутственных ладоней ― <BR> Лицо и память о Дидоне… 
6,"Туман закрывает набрякшие веки <BR> На Волгу, на Днепр и Дунай. <BR> Надолго-надолго, на вечные веки <BR> Прощай, наше солнце, прощай! "," Не описывай финала <BR> На Волгу, на Днепр и Дунай. <BR> Надолго-надолго, на вечные веки <BR> Прощай, наше солнце, прощай! "
7," Уходишь осенью обратно, <BR> шумит река вослед, вослед, <BR> мерцанье желтое парадных <BR> и в них шаги минувших лет. ","В парадных осенью, <BR> уходишь них шаги, лет, <BR> минувших вослед река <BR> обратно вослед шумит и мерцанье желтое."
8," И то был гром оваций в «Ревизоре» <BR> И смех и ужас ветреной толпы. <BR> Но, беззаботных зрителей позоря, <BR> Таких лучей ударили снопы, ","Толпы но и беззаботных снопы ревизоре« Таких» <BR> Лучей то позоря ужас ветреной зрителей. <BR> И, в и ударили, <BR> Смех гром был оваций,"
9," Ты здрав!  Хор Муз, тебе любезных, <BR> Драгую жизнь твою любя, <BR> На место кипарисов слезных, <BR> Венчают лаврами тебя. <BR> Прияв одна трубу златую, <BR> Другая строя лирный глас, <BR> Та арфу, та свирель простую, <BR> Воспели, ― и воспел Парнас: <BR> «Живи, наукам благодетель! <BR> Твоя жизнь ввек цвести должна; <BR> Не умирает добродетель: <BR> Бессмертна Музами она». "," Ты здрав!  Хор Муз, тебе любезных, <BR> Драгую жизнь твою любя, <BR> Венчают лаврами тебя. <BR> Прияв одна трубу златую, <BR> Другая строя лирный глас, <BR> Та арфу, та свирель простую, <BR> Воспели, ― и воспел Парнас: <BR> «Живи, наукам благодетель! <BR> Твоя жизнь ввек цвести должна; <BR> Не умирает добродетель: <BR> Бессмертна Музами она». "
