,Initial text,Corrupted text
0," Мне тридцать с лишком лет.  Так, значит, <BR> Еще могу не много жить. <BR> Пока жена меня оплачет <BR> Пред тем, как навсегда забыть! ","Мне тридцать к лишком Месяцев Так, значит, <BR> Cовсем могу не много жить. <BR> Как-то жена меня оплачет <BR> 2.глава тем, тоже.Это навсегда развенчать!"
1,"  «Христос моя сила, Христос!» ― <BR> Красуется Церковь честная, <BR> Всё громче поет и победней, ","«Христос моя сила, Христос!» ― <BR> Красуется Епископство ЧЕСТНАЯ <BR> Всё изобретательнее спев и победней,"
2," Впрочем, не часты такие напасти: <BR> Божьи служители ― тихий народ; <BR> Где им и мыслить о праве и власти, <BR> Ежели труд бесконечно гнетет. ","Якобы не часты такие прельщения: <BR> Божьи спонсоры систем интеллигентный народ; <BR> Где им ݹ мыслить о праве и региональные, <BR> Ежели труд бесконечно гнетет."
3, Цари?  Ищи-свищи! <BR> Дворцы сминаемы. <BR> А плечи всё свежи <BR> и несменяемы. ,Цари? Ищи-свищи! <BR> Детсады сминаемы. <BR> ИЛи плечи всё Ностальгические <BR> и несменяемы.
4," Стоит звезда из жести там <BR> И рядом тополь ― для приметы… <BR> А впрочем, я забыл, что вам, <BR> Наверно, безразлично это. ","Стоит звезда из антирекламы нет.Это <BR> И рядом тополь ― ДЛЯ приметы… <BR> А впрочем, бду забыл, по-видимому вам, <BR> Наверно, скорбно это."
5," Я не могу поймать молчащую кукушку <BR> или найти жука, сидящего в траве. <BR> Дитя в одной руке сжимает погремушку. <BR> Песочные часы стоят на голове. ","Я очеь поняла поймать молчащую кукушку <BR> или найти жука, сидящего в камне <BR> Дитя в чьей-то руке сжимает погремушку. <BR> Любимые часы окружаются у голове."
6, Слышишь в роще пенье соловья? <BR> Соловей и роза ― ты и я… ,Слышишь 51в роще пенье Тореадора? <BR> Соловей и роза техника ты и я…
7," Гафур Гуляма знаете, конечно! <BR> Мой адрес даст в Ташкенте каждый встречный. <BR> В мой дом входите, я вам рад сердечно! <BR> Без проволочек ― жизнь так быстротечна ― <BR> Ко мне шагайте, я вас жду, друзья! ","Мансур Муканны знаете, конечно! <BR> Зримый адрес польет в Сыктывкаре каждый встречный. <BR> В 2010Мой дом входите, я вам Наслышан успокоительно <BR> Без проволочек 50 жизнь так быстротечна магазин <BR> Ко мне вглядывайтесь, я вас жду, друзья!"
8," Как по утрам бывало мне желанно <BR> Со словарем беседовать в тени, <BR> Смотря, как блещет вечный снег Монблана <BR> Под тесным дном ущелья Шамуни! <BR> Как мыс с тобой читали Иоанна <BR> В стране лучей теперь воспомяни. <BR> Как после чтенья, светлый и могучий, <BR> Ты вел меня, сквозь черный лес, на кручи. ","Как п.34 умывались помнится мне желанно <BR> Со словарем робеть в бронзер <BR> Прикидывая как отстает первейший снег Гранд-тура <BR> Под тесным дном ущелья Шамуни! <BR> Как мыс с тобой читали Иоанна <BR> В стране молний теперь воспомяни. <BR> Как после нефтепродуктовКалькуляторыРасчет, светлый 4.Мы могучий, <BR> я-я выстроил меня, пялясь черный огородами, на кручи."
9," У Егорки щеки круглые, <BR> А у волка впалые. <BR> У обоих совесть смуглая, <BR> Сердце в груди ― шалое.","В Егорки щеки круглые, <BR> ИЛи у волка впалые. <BR> Привет.у обоих обдуманность холодноватая <BR> Сердце деревоВ груди ― шалое."
10," Уже не Бог, а только Время, Время <BR> зовет его. И молодое племя <BR> огромных волн его движенья бремя <BR> на самый край цветущей бахромы <BR> легко возносит и, простившись, бьется <BR> о край земли, в избытке сил смеется. <BR> И январем его залив вдается <BR> в ту сушу дней, где остаемся мы.","Последние не Барбело, .П только Время, mp3Время <BR> зовет определенной. И молодое Каиново <BR> огромных волн его плавности бремя <BR> 8.В нелогичный край цветущей бахромы <BR> кое-как возносит ھ, простившись, бьется <BR> о край земли, в избытке сил смеется. <BR> И 2005-го его Тонсай вдается <BR> в ту сушу дней, предположительно грустим мы."
11,"Огромный лоб, и рыжий взрыв кудрей, <BR> И чистое, как у слона, дыханье… <BR> Потом ― спокойный, серый-серый взор <BR> И маленькая, как модель, рука… <BR>  «Ну, здравствуйте, пойдемте в мастерскую». <BR> И лестница страдальчески скрипит <BR> Под быстрым взбегом опытного горца, <BR> И на ветру хитон холщовый плещет, <BR> И, целиком заняв дверную раму, <BR> Он оборачивается и ждет. ","Огромный лоб, и рыжая Бомбой отращивания <BR> И чистое, как ес слона, дыханье… <BR> тут ― спокойный, -цвету-чёрныесиниекрасныефиолетовыезелёныеголубыежёлтыебелые-форме-вертикальные взор <BR> И маленькая, какой. модель, рука… <BR> м-да спасибо устроим в мастерскую». <BR> И лестница страдальчески отвалилось <BR> Под быстрым взбегом опытного рыцаря <BR> И на ветру хитон холщовый плещет, <BR> И, изнутри заняв каменную рулонную, <BR> .ты сближается и дожидался"
12," В ветреной части мира я отыскал приют. <BR> Здесь никто не крикнет, что ты чужой, <BR> убирайся назад, и за постой берут <BR> выцветаньем зрачка, ржавою чешуей. ","В ветреной панели мира я-де отыскал приют. <BR> Потом никто ну крикнет, что Т-ты чужой, <BR> Пойди назад, и за уезжай переманивают <BR> выцветаньем зрачка, ржавою чешуей."
13, Кого везет?  Кто колесницей правит? <BR> Где родина его?  Урал?  Алтай? <BR> Какой завет он на века оставит? ,Кого проваливаются? Кто колесницей правит? <BR> Где родина его? Урал? Алтай? <BR> Достойнейший заповедью адресован на века сдержит
14, Жиры и углеводы не делали погоды <BR> Лупили по-стахановски в копилку <BR> Пустела муха перекрестная И пальцы <BR> прозекторов смыкались в нем как пальцы ,Жиры и киллограмы ХЗ делали погоды <BR> Лупили по-стахановски в копилку <BR> Копанина муха перекрестная Эти-то пальцы <BR> прозекторов отделялись к нем как протезы
15," Хорошо безусому по Руси <BR> Милицейской ночью лететь в такси. <BR> Тормознёт ― и лбом саданёшь в стекло, <BR> А очнёшься ― вдруг двадцать лет прошло. ","Представьте безусому на Руси <BR> Милицейской Наутро лететь в мобиле. <BR> Тормознёт ― ۾ лбом саданёшь из стекло, <BR> А очнёшься ― вдруг двадцать двух-четырех прошло."
16,"Твой локон не свивается в кольцо, <BR> и пальца для него не подобрать <BR> в стремлении очерчивать лицо, <BR> как ранее очерчивала прядь, <BR> в надежде, что нарвался на растяп, <BR> чьим помыслам стараясь угодить, <BR> хрусталик на уменьшенный масштаб <BR> вниманья не успеет обратить. ","Твой макушке не свивается в колесо-, <BR> и пальца длЯ него Ни подобрать <BR> из стремлении подкрашивать лицо, <BR> как ранее очерчивала прядь, <BR> в перспективе что нарвался на растяп, <BR> чьим обрядам стараясь посторониться, <BR> позвоночный на тяжеловатый масштаб <BR> волненье не спешит обратить."
17," Мы разошлись давно ― и лишь стихи мои, <BR> К вам редко доходя, про то, что время скрыло, <BR> Быть может говорят… коль сердце не забыло, <BR> Что были мы друзья в дни лучшие свои!","Мы отступились давно компаний и лишь стихи мои, <BR> К вам редко убирая, про то, что пору скрыло, <BR> Быть может говорят… коль сердце не разобрало <BR> Что были ВЫ Домочадцы них.На лихолетия Завидные свои!"
18," Здесь бюстов много есть писателей-собратьев… <BR> Счастливые!  Им нет забот земного дня! <BR> И крепко держит их мороз в своих объятьях, <BR> Но крепче их металл ― без крови и огня! ","сейчас манекенов много есть правозаступников- <BR> Счастливые! некем нет забот неистребимого дня! <BR> И сонно держит их промерзшем в примитивных объятьях, <BR> Но крепче их металл ― без альфа-фетопротеина и огня!"
19," В Тебе, Тебе спасенье наше. <BR> В последней битве ― Ты оплот. <BR> В Твоих руках ― святая чаша, <BR> Да каждый с миром отойдет. ","В Тебе, Ты-то спасенье наше. <BR> До двухтысячной бушующей ― Ты фанатический. <BR> В Твоих руках ― святая чаша, <BR> Да каждый 45с самоутверждением отойдет."
20," Я в Питере живу без собственна подворья, <BR> А в Питер перешел я жить из Зимогорья, <BR> Откуда выгнан я на станцию стоять, <BR> Затем что за себя не мог я там нанять <BR> Другого ямщика…  Но ты услышишь вскоре <BR> О преужаснейшей и кроволитной ссоре, <BR> Которая была с валдайцами у нас. <BR> Прости ты сим слезам, лиющимся из глаз; <BR> Я ими то тебе довольно возвещаю, <BR> Какую и теперь я жалость ощущаю, <BR> Когда несчастие мое воспомяну: <BR> Я мать тут потерял, и брата, и жену. ","Я в Курортном разговариваю без собственна Спасо-Суморина, <BR> А в Питер перебросил я жить из Зимогорья, <BR> Откуда невыходит я на Сосновку ходится, <BR> Приподнимая что за глупышку 45Не Хотел я там нанять <BR> Другого елецкого Но ты позовешь вскоре <BR> 113-р преужаснейшей и TechnologyZTEZubrZyxelАвангардАгатАгросфераАкваОсмосАквасторожАкватонАквафорАКОМАлесяАЛМАЗ-МЕБЕЛЬАльпинистикАмкодор-БелварАнтелАпельсиновая корысти, <BR> Которая была с валдайцами у нас. <BR> Прости тебе сим катаклизмам, лиющимся по мордочки <BR> я-то ими то тебе довольно возвещаю, <BR> Какую и ясно я самоирония общаюсь <BR> Когда неблагородное мое воспомяну: <BR> Я мать тут потерял, и османа, и жену."
21,Повернулся и сел в постели; <BR> На часах ― непривычно рано; <BR> В коридоре шаг скрипели: ― <BR> «Скоро ль выспится там обезьяна?» ,Повернулся и стоял На простынями; <BR> На Urwerk ― непривычно рано; <BR> В коридоре шаг скрипели: ― <BR> «Скоро Што выспится только обезьяна?»
22," А на белом тусклом снегу, погляди: <BR> Такие черные тусклые люди. <BR> И у каждого горькая гниль в груди, <BR> И каждый подобен Иуде. ","А на магниевом тусклом снегу, Выгляни: <BR> Позитивные серо-чёрные тусклые люди. <BR> И у каждого неопровержимая гниль в подбородки <BR> И каждый подобен мучителю"
23," Я занавеску опустил. <BR> Отполированный листок <BR> настольной лампой осветил. <BR> Я глубже сел за стол. <BR> Я глубже окунул перо, <BR> подался корпусом вперед… <BR> но вспомнил… осень: <BR>  о себе <BR> особый эпизод. ","я-я калиточку опустил. <BR> Отполированный кругляшок <BR> широкоизвестной тумбой светил <BR> Я информативнее сел за стол. <BR> он глубже окунул кистью, <BR> подался корпусом вперед… <BR> но вспомнил… осень: <BR> при себе <BR> особый эпизод."
24,"… И вот пойми ― есть в мире странный лад <BR> Текущих рек и веющего ветра, <BR> А у стиха медлительного метра <BR> И паузы поют и говорят. ","трансплантологию И вот тебя ― учесть в цирковом странный лад <BR> Текущих подлёдных и веющего ветра, <BR> А у созвучиями медлительного метра <BR> и паузы поют 5Рв говорят."
25," Еще силен крылатый лучник <BR> И нас тиранит поделом, ― <BR> Соединитель и разлучник, <BR> Неутомимый судьболом! <BR> Конечно, испытал не всякий <BR> Его губительную власть, <BR> Но почему бы забияке <BR> В число подранков не попасть? ","Еще силен крылатый лучник <BR> И нас лупит поделом, ― <BR> гайка-штуцер ݹ вислоплодник <BR> 50-летний судьболом! <BR> Конечно, повидал не пожарный <BR> Его губительную светская, <BR> Но имеенно бы забияке <BR> Надо.в число подранков же попасть?"
26," Упреки, что ж, опять упреки будут, <BR> Опять я брошу: «Нет, не правы вы!» <BR> Покуда бодр, иду вперед, покуда <BR> Не опущу удалой головы. ","Грубость что нИ опять упреки будут, <BR> Сейчас-то я покормлю: «Нет, не правы поразитесь! <BR> Покуда настойчив иду вперекор покуда <BR> Не опущу удалой головы."
27," Я не ищу других богинь величья, <BR> И мне чужда их гордая семья, <BR> Мне не дано особого обличья, <BR> Не дождалась особых храмов я! ","он не утилизирую других богинь величья, <BR> Апд ему-то чужда क влюбленная семья, <BR> Мне не дано особого овеществления, <BR> Не дождалась особых храмов я!"
28," Поет, не слыша, ничего не видя, <BR> И, не дослушав до конца, <BR> Слетит она и в страхе и в обиде, <BR> Учуяв запашок свинца… ","Поет, не слыша, ничего не видя, <BR> И, вcё дослушав до конца, <BR> подлетит она ТАк о страхе и в лицемерии <BR> Учуяв смрада нитрат-ионов"
29," Ничто вас не спасет, издохнете и вы, <BR> Как издыхаю я ― бесславно и вонюче. <BR> О, как прекрасна смерть червя или травы, <BR> Свободного цветка или звезды падучей! ","Неуничтожимо вас леко спасет, травитесь и вы, <BR> Как отстукивал я ― бесславно и остренько. <BR> О, как прекрасна смерть удильщика предоставите травы, <BR> Свободного тычинки или звезды падучей!"
30," И голова его седая <BR> Сквозь крови брызнувшей фонтан <BR> Вниз покатилась, развивая <BR> Свой белый шелковый тюрбан. ","и голова его седая <BR> Сквозь крови скатывающейся фонтан <BR> Вниз покатилась, развивая <BR> Реальный Бело-черный гардинный тюрбан."
31," Радость, любопытство <BR> На лице у всех; <BR> Часто прерывает <BR> Маму звонкий смех. ","Радость, любопытство <BR> Красовалась т-зоне у всех; <BR> Часто прерывает <BR> Маму толстостенный слезу."
32,"Прощай! Завидую тебе ― <BR> Твоей поездке, не судьбе: <BR> Я гордостью, ты знаешь, болен <BR> И не сменяю ни на чью <BR> Судьбу плачевную мою, <BR> Хоть очень ею недоволен. <BR> Ты счастлив. Ты воскреснешь вновь; <BR> В твоей душе проснется живо <BR> Всё, чем терзает прихотливо <BR> И награждает нас любовь, ― <BR> Пора наград, улыбок ясных, <BR> Простых, как молодость, речей <BR> Ночей таинственных и страстных <BR> И полных сладкой лени дней! <BR> Ты знал ее?.. Нет лучшей доли! <BR> Живешь легко, глядишь светлей, <BR> Не жалко времени и воли, <BR> Не стыдно праздности своей, <BR> Душа тоскливо вдаль не рвется <BR> И вся блаженна перед той, <BR> Чье сердце ласковое бьется <BR> Одним биением с тобой… <BR> Счастливец! из доступных миру <BR> Ты наслаждений взять умел <BR> Всё, чем прекрасен наш удел: <BR> Бог дал тебе свободу, лиру <BR> И женской любящей душой <BR> Благословил твой путь земной…","Остановись Удивляешься тебе ― <BR> Твоей поездке, вообше судьбе: <BR> Я гордостью, ты располагаешь, утомлён <BR> И не сменяю хотя у чью <BR> Патовую нелестную мою, <BR> Хоть реально ЕЙ недоволен. <BR> Ты счастлив. Являешся залетишь вновь; <BR> В твоей душе проснется живо <BR> Всё, чем терзает миловидно <BR> И награждает нас любовь, 300 <BR> Пора наград, улыбок ясных, <BR> Потенциальных во-первых обреченность, речей <BR> Ночей таинственных ТАк страстных <BR> И полных надменной незлобивости дней! <BR> Ты знал Ей Можно лучшей мерной! <BR> расстаешься обычно, глядишь светлей, <BR> ни жалко времени чоб воли, <BR> Значит- стыдно праздности своей, <BR> Шапочка тоскливо заречную не рвется <BR> Нет. вся блаженна перед той, <BR> Чье сердце ласковое бьется <BR> Старейшим диастолическим По согластна <BR> Сулькин! из доступных миру <BR> Выпендривайся умствований взять умел <BR> Всё, точнее очаровал рыженький удел: <BR> Бог дал тебе свободу, лиру <BR> И женской бесшабашной душой <BR> повез твой путь животворной"
33,"«Увы! Увы!» ― поёт пила. <BR> Заря в лесу легла. <BR> Нагрелись вялые поля, <BR> зарделася река. ","«Увы! Попытка! 2011 поёт циркулярка <BR> Заря в лесу легла. <BR> Нагрелись Помятые поля, <BR> зарделася Ваеньга"
