,Poem Text
0,"Не в первый раз волнуется Восток,
Не в первый раз Христа там распинают,
И от креста луны поблекший рог
Щитом своим державы прикрывают.
Несется клич: ""Распни, распни его!
Предай опять на рабство и на муки!""
О Русь, ужель не слышишь эти звуки
И, как Пилат, свои умоешь руки?
Ведь это кровь из сердца твоего!

Декабрь 1866?"
1,"17-е апреля 1818

На первой дней моих заре,
То было рано поутру в Кремле,
То было в Чудовом монастыре,
Я в келье был, и тихой и смиренной,
Там жил тогда Жуковский незабвенный.
Я ждал его, и в ожиданье
Кремлевских колколов я слушал завыванье.
Следил за медной бурей,
Поднявшейся в безоблачном лазуре
И вдруг смененной пушечной пальбой, ―
Все вздрогнули, понявши этот вой.
Хоругвью светозарно-голубой
Весенний первый день лазурно-золотой
Так и пылал над праздничной Москвой.
Тут первая меня достигла весть,
Что в мире новый житель есть
И, новый царский гость в Кремле,
Ты в этот час дарован был земле.
С тех пор воспоминанье это
В душе моей согрето
Так благодатно и так мило ―
В теченье стольких лет не измен<яло>,
Меня всю жизнь так верно провожало, ―
И ныне, в ранний утра час,
Оно, всё так же дорого и мило,
Мой одр печальный посетило
И благодатный праздник возвестило.
Мнилось мне всегда,
Что этот раннего событья самый час
Мне будет на всю жизнь благим предзнаменованьем,
И не ошибся я: вся жизнь моя прошла
Под этим кротким, благостным влияньем.
И милосердою судьбою
Мне было счастье суждено,
Что весь мой век я над собою
Созвездье видел всё одно ―
Его созвездие, ― и будь же до конца оно
Моей единственной звездою
И много-много раз
Порадуй этот день, и этот мир, и нас…

17 апреля 1873"
2,"Британский леопард
За что на нас сердит?
И машет всё хвостом,
И гневно так рычит?
Откуда поднялась внезапная тревога?

Чем провинились мы?
Тем, что, в глуби зашед
Степи средиазийской,
Наш северный медведь ―
Земляк наш всероссийский ―
От права своего не хочет отказаться
Себя оборонять, подчас и огрызаться.

В угоду же друзьям своим
Не хочет перед миром
Каким-то быть отшельником-факиром;
И миру показать и всем воочию́,
Всем гадинам степным
На снедь предать всю плоть свою.
Нет, этому не быть! ― и поднял лапу…
Вот этим леопард и был так рассерже́н.
""Ах, грубиян! Ах, он нахал! ―
Наш лев сердито зарычал. ―
Как! он, простой медведь, и хочет защищаться
В присутствии моем, и лапу поднимать,
И даже огрызаться!
Пожалуй, это до́йдет до того,
Что он вообразит, что есть"" и ""у него
Такие же права,
Как у меня, сиятельного льва…
Нельзя же допустить такого баловства!""

Январь 1873"
3,"Бывают роковые дни
Лютейшего телесного недуга
И страшных нравственных тревог;
И жизнь над нами тяготеет
И душит нас, как кошемар.
Счастлив, кому в такие дни
Пошлет всемилосердый бог
Неоценимый, лучший дар ―
Сочувственную руку друга,
Кого живая, теплая рука
Коснется нас, хотя слегка,
Оцепенение рассеет
И сдвинет с нас ужасный кошемар
И отвратит судеб удар, ―
Воскреснет жизнь, кровь заструится вновь,
И верит сердце в правду и любовь.

1873"
4,"Во дни напастей и беды,
Когда из Золотой орды
В Москву баскаков насылали,
Конечно, и тогда их выбирали,
Москве предоставляя в дар
Учтивейшего из татар, ―
Насколько совместимы два эти слова ―
Ну, словом, лучшего из той среды,
И не отправили бы Дурнова…
А впрочем, тут много шума из пустого.

Конец января 1873"
5,"Конечно, вредно пользам государства
В нем образовывать особенное царство,
Но несогласно с пользами подда́нства
И в Ханстве возбуждать особенное ханство,
Давно минувших лет возобновлять приемы и следы,
И, устранив все современные лады,
Строй новый заводить,
И самозванно, произвольно
Вдруг на Москве первопрестольной
В затменье умственном, бог ведает каком,
Вдруг заявить себя ожившим баскако́м
Для несуществующей Орды."
6,"Хоть родом он был не славя́нин,
Но был славянством всем усвоен,
И честно он всю жизнь ему служил,
Он много действовал, хоть мало жил,
И многого ему принадлежит почин ―
И делом доказал, что в поле и один
Быть может доблестный и храбрый воин."
7,"Чертог твой, спаситель, я вижу украшен,
Но одежд не имею, да вниду в него."
8,"Бессонница

(Ночной момент)

Ночной порой в пустыне городской
Есть час один, проникнутый тоской,
Когда на целый город ночь сошла
И всюду водворилась мгла,
Всё тихо и молчит; и вот луна взошла,
И вот при блеске лунной сизой ночи
Лишь нескольких церквей, потерянных вдали,
Блеск золоченых глав, унылый, тусклый зев
Пустынно бьет в недремлющие очи,
И сердце в нас подкидышем бывает
И так же плачется и так же изнывает,
О жизни и любви отчаянно взывает.
Но тщетно плачется и молится оно:
Всё вкруг него и пусто и темно!
Час и другой всё длится жалкий стон,
Но наконец, слабея, утихает он.

Апрель 1873"
9,"<Д. Ф. Тютчевой>

Вот свежие тебе цветы
В честь именин твоих, ―
Еще цветы я рассылаю,
А сам так быстро отцветаю.

Хотелось бы собрать пригоршню дней,
Чтоб сплесть еще венок
Для именинницы моей.

19 марта 1873"
